                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.95823,                 0.5789,                 1.0269,                0.93756,                0.94635,                0.97306,                0.64813,                 1.2248,                0.57703,                 1.1753,             0.00013437,             0.00013437,             0.00013437
                     84,                0.96594,                0.57908,                 1.0298,                 0.9563,                0.93135,                0.97385,                0.64472,                 1.2195,                0.57935,                 1.1777,             0.00012731,             0.00012731,             0.00012731
                     85,                0.94831,                0.56656,                 1.0205,                0.95706,                0.90934,                0.97268,                0.64634,                 1.2071,                0.57084,                 1.1601,             0.00012024,             0.00012024,             0.00012024
                     86,                0.95781,                0.57872,                 1.0301,                0.93645,                0.93895,                0.97232,                0.64684,                  1.229,                 0.5804,                 1.1692,             0.00011317,             0.00011317,             0.00011317
                     87,                0.96623,                0.57464,                 1.0276,                0.93429,                 0.9388,                 0.9736,                 0.6467,                 1.2367,                0.58064,                 1.1717,              0.0001061,              0.0001061,              0.0001061
                     88,                0.96576,                0.57897,                 1.0397,                0.93527,                0.92961,                0.97383,                0.63584,                 1.2373,                0.57869,                 1.1647,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.95778,                0.57104,                 1.0218,                0.95874,                0.92228,                0.97182,                0.64476,                 1.2333,                0.58432,                 1.1687,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.98634,                0.66081,                 1.0281,                0.96864,                0.90504,                0.97115,                0.64029,                 1.2443,                0.59371,                  1.176,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                 0.9351,                0.62491,                 1.0252,                0.95928,                0.91223,                0.97354,                0.63247,                 1.2486,                0.60495,                 1.1781,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.91998,                 0.6015,                  1.012,                0.96129,                0.91555,                0.97402,                0.63604,                 1.2234,                0.58529,                 1.1743,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.91283,                0.58626,                 1.0153,                0.95817,                0.91776,                0.97268,                0.63992,                 1.2155,                 0.5842,                 1.1692,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.90698,                0.57143,                 1.0225,                0.96739,                0.91695,                0.97315,                0.63622,                 1.2275,                0.58631,                 1.1777,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.91286,                0.56645,                 1.0034,                0.96278,                0.92348,                0.97413,                0.64767,                 1.2149,                0.58241,                  1.172,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.88264,                0.55674,                  1.001,                0.95283,                0.92237,                0.97408,                0.65004,                  1.215,                0.58636,                 1.1783,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.90723,                0.56393,                 1.0054,                0.95264,                0.91738,                0.97308,                0.64491,                 1.2123,                 0.5845,                 1.1733,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.88027,                0.54955,                0.99445,                0.96117,                0.91337,                0.97364,                0.64632,                 1.2157,                0.57811,                  1.173,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.87785,                0.55454,                0.98867,                0.96081,                0.91461,                0.97115,                 0.6387,                 1.2168,                0.57643,                  1.174,             2.1277e-05,             2.1277e-05,             2.1277e-05
